bestObjID,class,z,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1237666406848070175,STAR,-0.0005660757,23.35449,21.44163,21.21063,21.04029,20.95846,0.5709234,0.0488292,0.05155158,0.06640083,0.2301205
1237664291000811738,GALAXY,0.2510221,21.68846,19.68354,18.2133,17.67401,17.40694,0.2890003,0.02339188,0.01110795,0.009467832,0.02496057
1237667782815056886,GALAXY,0.6807278,22.9363,22.59695,20.85877,19.62202,19.02735,0.5800313,0.1935028,0.06074803,0.02992459,0.07388848
1237680071250870399,GALAXY,0.1624927,20.9191,18.43628,17.22482,16.73076,16.35768,0.2360239,0.01281855,0.007117117,0.00676482,0.013179
1237662302447337977,GALAXY,0.03227037,19.3161,18.12939,17.72928,17.50957,17.47714,0.07035962,0.01244155,0.01181596,0.01482658,0.05390587
1237654398617321572,GALAXY,0.4895472,24.29166,22.03452,20.19662,19.35773,18.82901,1.503608,0.1488096,0.04453436,0.03347113,0.07463464
1237667730199085250,GALAXY,0.5056695,23.71889,22.2195,20.35076,19.43201,19.06467,1.096557,0.1599998,0.04285713,0.02680786,0.06258346
1237663784202797240,STAR,-0.0001590715,19.62586,16.98361,15.70745,15.15154,14.86453,0.0313025,0.005063649,0.005243459,0.005210814,0.005586492
1237664669514531051,STAR,-9.721389e-05,21.10696,20.11064,19.86476,19.77159,19.78195,0.07413064,0.01708036,0.01761981,0.02357472,0.07212562
1237663530252173721,GALAXY,0.1326995,20.39217,18.48066,17.43277,16.97599,16.66073,0.1222288,0.01123848,0.007518105,0.007227222,0.01834907
1237663458313897328,GALAXY,0.3879026,23.58598,22.47553,20.48967,19.9598,19.50884,0.8394293,0.1766324,0.0417918,0.03865678,0.0867008
1237678622239359125,GALAXY,0.1333453,19.90647,17.93932,16.88917,16.45492,16.08701,0.08432012,0.008393826,0.005356517,0.005125136,0.01028583
1237679460286398739,STAR,-0.0001924293,21.26058,19.94605,19.39083,19.2569,19.03139,0.1454107,0.01997535,0.01574651,0.01687877,0.04369739
1237661069235716290,GALAXY,0.4135903,24.34948,21.49414,19.82104,19.0255,18.75335,1.485911,0.0895714,0.03101746,0.02239668,0.06738087
1237658424097898634,STAR,0.0005491073,18.31058,17.2777,16.88255,16.7341,16.69272,0.01616927,0.00458397,0.004690481,0.005081861,0.009630181
1237652935647625540,STAR,9.502939e-05,19.9367,18.42788,17.81662,17.59518,18.87803,0.04732046,0.00831658,0.007091399,0.007612099,0.04678622
1237662696497414358,GALAXY,0.0769057,19.19513,17.79635,17.1517,16.7789,16.56247,0.0504731,0.007979199,0.007774717,0.008798636,0.01937836
1237657584949395634,GALAXY,0.07941263,19.55486,18.16773,17.55165,17.14119,16.88795,0.07162286,0.01061838,0.008559893,0.008517561,0.0219927
1237671123231310020,GALAXY,0.04169597,19.0681,17.39395,16.60376,16.2444,15.96582,0.04300673,0.006266441,0.004702481,0.004624432,0.009260757
1237659330311618928,STAR,3.098982e-05,21.42056,20.35637,20.27451,20.26956,20.13361,0.169504,0.02315491,0.0291028,0.03697422,0.1457517
1237679477473805088,QSO,4.110369,26.02395,21.51891,20.45811,20.14297,20.5022,0.4448645,0.05920383,0.03240205,0.03287843,0.1686931
1237651251502252191,GALAXY,0.08437092,18.56817,17.26182,16.63983,16.2297,15.98389,0.03067762,0.005306949,0.004647456,0.004438867,0.01139829
1237660637061251459,GALAXY,0.5162371,25.33714,22.3533,20.67675,19.69121,19.19213,1.235645,0.1646485,0.05940485,0.03818702,0.08851615
1237663917337674107,QSO,1.473407,19.45752,19.40259,19.27653,19.11927,19.0821,0.03423607,0.01257738,0.013722,0.01563309,0.05783204
1237671956445200542,GALAXY,0.07875848,19.24327,18.17021,17.71678,17.43246,17.29879,0.05313599,0.009596406,0.00984937,0.01151461,0.04195514
