model,mag_bin,ECE_raw_mean,ECE_raw_lo,ECE_raw_hi,ECE_rep_platt_mean,ECE_rep_platt_lo,ECE_rep_platt_hi,ECE_bright_platt_mean,ECE_bright_platt_lo,ECE_bright_platt_hi,ECE_rep_isotonic_mean,ECE_rep_isotonic_lo,ECE_rep_isotonic_hi,ECE_bright_isotonic_mean,ECE_bright_isotonic_lo,ECE_bright_isotonic_hi,ECE_rep_temperature_mean,ECE_rep_temperature_lo,ECE_rep_temperature_hi,ECE_bright_temperature_mean,ECE_bright_temperature_lo,ECE_bright_temperature_hi,cwECE_raw_mean,cwECE_raw_lo,cwECE_raw_hi,cwECE_star_mean,cwECE_star_lo,cwECE_star_hi,cwECE_galaxy_mean,cwECE_galaxy_lo,cwECE_galaxy_hi,cwECE_qso_mean,cwECE_qso_lo,cwECE_qso_hi
LogReg,"[14,17)",0.17216596347218702,0.17059674292066537,0.17373518402370866,0.1561100732831414,0.15352297065621698,0.1586971759100658,0.14273851222787842,0.14119361135262273,0.1442834131031341,0.1438032176517014,0.14107945281934445,0.14652698248405835,0.1198713607964915,0.11723012051844768,0.12251260107453531,0.1722124684862284,0.17052921920458125,0.17389571776787555,0.12215118577510417,0.12040866031289278,0.12389371123731556,0.11911597623273429,0.1180237812714864,0.12020817119398218,0.17981135265096013,0.17816206952475727,0.18146063577716298,0.16032707984403943,0.15859297099792566,0.1620611886901532,0.017209496203203316,0.0168471352866362,0.017571857119770433
LogReg,"[17,18)",0.1307365788908829,0.1294769267432741,0.13199623103849167,0.1431997639369235,0.14203670046387273,0.14436282740997425,0.1529184150143424,0.15164780035384512,0.15418902967483966,0.14375581474706517,0.14238959613647695,0.1451220333576534,0.13491486787855972,0.1334801377718614,0.13634959798525803,0.13067613238918205,0.1294327044865394,0.1319195602918247,0.08213833451723324,0.08099002477368983,0.08328664426077664,0.09571695461986507,0.09497445040703745,0.09645945883269269,0.1286107547471286,0.12737773348560158,0.12984377600865563,0.11930414494994294,0.11816144437534883,0.12044684552453706,0.0392359641625237,0.03875952632216985,0.03971240200287755
LogReg,"[18,19)",0.16457706726816584,0.16283004510641771,0.16632408942991397,0.09482340201396292,0.09366958019406321,0.09597722383386262,0.12926718586629013,0.12538970410320494,0.13314466762937532,0.12444835364205861,0.12221298508518177,0.12668372219893545,0.06461509718143935,0.06163061479250002,0.06759957957037867,0.16460110589560353,0.16287282651084264,0.16632938528036442,0.15089570438662883,0.14933902333023547,0.1524523854430222,0.11632599594402471,0.11539426447608885,0.11725772741196057,0.15517009416416871,0.1536681559018368,0.15667203242650063,0.1076304485653006,0.10650263703883578,0.10875826009176542,0.08617744510260487,0.08516754177351334,0.08718734843169641
LogReg,"[19,20)",0.09524787626815266,0.09380859028237282,0.09668716225393251,0.09416869069166516,0.09265022395098847,0.09568715743234184,0.09733212689863631,0.0957546046295821,0.09890964916769052,0.0830590872118673,0.08120818409142731,0.0849099903323073,0.06223296997413752,0.06058183062455611,0.06388410932371892,0.09546192861316075,0.09382315365052128,0.09710070357580021,0.08806553211899601,0.08684208315047011,0.08928898108752191,0.08442465362420001,0.08376778964078399,0.08508151760761604,0.09500748243149104,0.09397458818274565,0.09604037668023643,0.08237424443477967,0.08154278437448301,0.08320570449507633,0.07589223400632934,0.07504633579239,0.07673813222026868
LogReg,"[20,22)",0.031168916594156652,0.03031509008252752,0.03202274310578578,0.037784810417354445,0.03709170280811861,0.03847791802659028,0.04808576081332027,0.04620339897266975,0.04996812265397079,0.02464446391237744,0.023789838188824308,0.02549908963593057,0.08936252292080113,0.0874968888796542,0.09122815696194805,0.03121112703196664,0.030394024787068888,0.03202822927686439,0.07582966568129931,0.07490307454228529,0.07675625682031334,0.03532822961245659,0.034892169797464796,0.03576428942744838,0.034512368697803796,0.03386736825613324,0.03515736913947435,0.042211740864505895,0.04154202380349801,0.04288145792551378,0.02926057927506006,0.028719582627122497,0.029801575922997623
RandomForest,"[14,17)",0.006442674472907141,0.005922902765142154,0.006962446180672128,0.02876165161361932,0.02819457080186355,0.029328732425375093,0.007991323141967144,0.007469510291160807,0.008513135992773483,0.004385843249823098,0.003922371701453304,0.004849314798192892,0.002361833878957969,0.0020838843805587076,0.0026397833773572307,0.004532244271818761,0.004023250929457328,0.005041237614180193,0.0028058249276185212,0.0025317365110471795,0.003079913344189863,0.004765311637509172,0.0044608464128015725,0.005069776862216771,0.006512551845199714,0.006072589612317533,0.006952514078081895,0.006192589207853242,0.005696825297995325,0.006688353117711159,0.0015907938594745576,0.0013939660931821208,0.0017876216257669943
RandomForest,"[17,18)",0.007748476294218394,0.007238970396623519,0.008257982191813269,0.02853579502236645,0.028080468158942332,0.02899112188579057,0.0066849958592256325,0.006044438346881049,0.007325553371570216,0.005040862780055436,0.004500928080860004,0.005580797479250868,0.0027478514951281468,0.0023907807943090355,0.003104922195947258,0.005294162512032333,0.004751766935318328,0.005836558088746338,0.0028288849734961477,0.002453834037595789,0.0032039359093965062,0.0055251799766534914,0.005224763668166677,0.005825596285140306,0.007188588116215848,0.0067881917105562855,0.00758898452187541,0.007305329484618121,0.006862835761573862,0.0077478232076623795,0.002081622329126507,0.0018683166894284643,0.0022949279688245497
RandomForest,"[18,19)",0.011508831639204789,0.010937609738100984,0.012080053540308593,0.03045654342118793,0.029886251027621553,0.03102683581475431,0.01156153882662048,0.010873089185005413,0.012249988468235547,0.007463001230818667,0.006853941030968095,0.008072061430669238,0.004285421553287068,0.0038296351697925763,0.00474120793678156,0.008219943355399661,0.007576942296631208,0.008862944414168114,0.004057553510375713,0.0034638195956559607,0.004651287425095466,0.008596894026166778,0.008230410257354175,0.00896337779497938,0.010575769353844086,0.009987535018153885,0.011164003689534288,0.010042074335881024,0.009485417006534533,0.010598731665227516,0.005172838388775221,0.004735112062360659,0.0056105647151897834
RandomForest,"[19,20)",0.009369537882743898,0.00857049524236183,0.010168580523125966,0.03030095669832487,0.02966071075974244,0.030941202636907302,0.031760498460387,0.030859847733661752,0.03266114918711224,0.005459331739664895,0.005072413793551067,0.005846249685778722,0.00890915125323873,0.007555053046238148,0.01026324946023931,0.005459964571257897,0.004900407721149435,0.006019521421366359,0.006189293707554199,0.005259707158051581,0.007118880257056816,0.0075758384081430095,0.007174980165737363,0.007976696650548655,0.009755332725873214,0.009192261363638753,0.010318404088107675,0.006632667172025051,0.006003297912379234,0.007262036431670869,0.006339515326530767,0.005991225012952719,0.006687805640108816
RandomForest,"[20,22)",0.0036161463471050203,0.003183136146319977,0.004049156547890063,0.03121063263521025,0.030499022436402203,0.0319222428340183,0.06335661921264502,0.06255176596605704,0.064161472459233,0.0073218752728281865,0.006718946616246603,0.00792480392940977,0.02366100155190537,0.022143821496164662,0.025178181607646077,0.0071868055384166785,0.00671056638397012,0.007663044692863237,0.017470220592944008,0.016592261478327895,0.01834817970756012,0.004157238106031849,0.003931300937356452,0.004383175274707245,0.004691117842591114,0.0042859371489528736,0.005096298536229354,0.003853958935124082,0.003514463541893283,0.004193454328354881,0.0039266375403803535,0.003580192468923919,0.004273082611836788
