model,accuracy,ECE,ECE10,ECE_quantile,MCE,Brier,NLL,seed
LogReg,0.8125381253812538,0.07783724976442362,0.07783724976442356,0.07932543702243562,0.17032055655366363,0.30909302631527424,0.5490770878547875,0
RandomForest,0.92449924499245,0.004946375265965412,0.005061956817957252,0.004918931859852066,0.07565271301236559,0.11322392290196455,0.20963389220739265,0
HistGB,0.9241992419924199,0.0030238535504068294,0.0031138486556855248,0.002953227524854686,0.06784585184038588,0.11351824198609331,0.20964884800063383,0
MLP,0.9262392623926239,0.003642559710411882,0.003651520436304124,0.003708979866807988,0.05703136311871004,0.11098817729846033,0.20398679046149149,0
LogReg,0.8098280982809828,0.07828360111301942,0.07828360111301946,0.07977260548617789,0.15770073674592539,0.31249048425622045,0.5560509413652602,1
RandomForest,0.9251792517925179,0.005213039253742604,0.005213039253742551,0.005153502183194062,0.029768237588928714,0.11350529746959083,0.2105919833573294,1
HistGB,0.924319243192432,0.0022968750185268045,0.001396108120419284,0.00205839639824923,0.05850152134874226,0.11362596543308594,0.21083908961956052,1
MLP,0.924909249092491,0.0017160496564314425,0.001962862535519653,0.0024916303353094142,0.025360699247349794,0.11229943002693543,0.20713727225141543,1
LogReg,0.8101781017810178,0.07633488421788791,0.07633488421788787,0.07757416429476752,0.16007309833444994,0.31121666506097667,0.5526809001775056,2
RandomForest,0.9240092400924009,0.005202390282468823,0.005190150774679618,0.004617384709916314,0.04704197239888597,0.11362429054745708,0.21107956488042956,2
HistGB,0.9228192281922819,0.0030139328455487807,0.0031237455471144716,0.0031295910889796667,0.047419388472625223,0.11502642894782526,0.21301175840723494,2
MLP,0.9265292652926529,0.002641179146601424,0.00260344878676186,0.0025048631706425816,0.02685351742371539,0.11139022063442905,0.20777325256536672,2
LogReg,0.8100581005810058,0.07740251198565447,0.07740251198565445,0.07927388267194294,0.1700399417629938,0.3118070202833691,0.5551845832426263,3
RandomForest,0.9236992369923699,0.0035756988963951694,0.0032751660963255594,0.003504138998494473,0.023229868413740973,0.11520166064355794,0.2138271653647802,3
HistGB,0.92379923799238,0.0029555115586302294,0.0023856926293422103,0.0028674052289544686,0.032318812400263186,0.11488601280277588,0.2132194362631608,3
MLP,0.9243992439924399,0.006239725512313106,0.005707895695398375,0.005415269031500061,0.026239800470728047,0.11406462112100534,0.21135339357446106,3
LogReg,0.8107481074810748,0.07721580742393688,0.07721580742393694,0.07751806904715405,0.16450683961024248,0.31052768447985135,0.5521143435695567,4
RandomForest,0.9246192461924619,0.004798888042584902,0.0047988880425849,0.004680367725289334,0.05867283766950898,0.11310889824732254,0.21034650758129678,4
HistGB,0.9242792427924279,0.0019719101453180886,0.001590946366502782,0.0026970517082663703,0.03269838907023448,0.1136703950076749,0.21104595457994793,4
MLP,0.9265292652926529,0.0032127238453246885,0.002908375332283355,0.002877792183676387,0.023342103224257782,0.11115322759894965,0.20679250615084804,4
LogReg,0.8110381103811038,0.07636219653036058,0.07636219653036058,0.07815291537037117,0.15120394775152785,0.31012218360143545,0.5509663353731258,5
RandomForest,0.9247492474924749,0.005154249483855457,0.005192600406960894,0.005006906495984535,0.021913970718387077,0.11304073214039621,0.20998430954132444,5
HistGB,0.9240092400924009,0.0030339282029443445,0.002503723249936286,0.003097962452871684,0.060553080442443785,0.11326268737705855,0.20908935574062198,5
MLP,0.926369263692637,0.002394983567329457,0.0018999291938213664,0.002022204926406734,0.042756542953475585,0.1114459409714195,0.20652661398573965,5
LogReg,0.8092480924809248,0.07535573789277315,0.07535573789277317,0.07644413756565602,0.14755136488183268,0.31119113661102643,0.5534691796797127,6
RandomForest,0.9250292502925029,0.005245279183274092,0.005245279183274134,0.005245279183274048,0.0341289292529971,0.11311987330279322,0.21048418751376502,6
