model,mag_bin,n,ECE_raw,ECE_rep_platt,ECE_bright_platt,ECE_rep_isotonic,ECE_bright_isotonic,ECE_rep_temperature,ECE_bright_temperature,cwECE_raw,cwECE_star,cwECE_galaxy,cwECE_qso,seed
LogReg,"[14,17)",11742,0.17325786723944767,0.16558681983387147,0.14609798355020218,0.15336305759372035,0.12396653414666418,0.1723843965649405,0.1222419674336046,0.12060064907067757,0.18145290459249344,0.1630016950825927,0.01734734753694649,0
LogReg,"[17,18)",14944,0.1327862695770408,0.1449445644670408,0.15581655122082894,0.14479786777587036,0.13397375034982795,0.1323721165996006,0.08330441400985641,0.09638671776284614,0.13174017920942374,0.11826654098327222,0.039153433095842446,0
LogReg,"[18,19)",11486,0.1682486967918273,0.09463941802640781,0.12896261570110434,0.11840437094206692,0.07461680185793028,0.16850370041691193,0.15476295669356216,0.11820242131360104,0.15491578200312991,0.11024200156432987,0.08944948037334331,0
LogReg,"[19,20)",15761,0.09731096082184043,0.08809715860508466,0.0912410727650579,0.07772289839435403,0.06337985888190055,0.09679817522757836,0.09299917447724403,0.0850327094086986,0.09770005148087481,0.08312549578029597,0.07427258096492503,0
LogReg,"[20,22)",46066,0.030915950787444642,0.036025757758516366,0.0439883549779087,0.028064112705127712,0.09402962184999396,0.031214080878153735,0.07315688715119928,0.03477464364326907,0.034702470072029416,0.04007769284550524,0.029543768012272563,0
RandomForest,"[14,17)",11742,0.006938829667063184,0.02917085264061663,0.009258563582076194,0.0043836904104153805,0.0017816288006591051,0.0048392494400119794,0.0023606923458355284,0.004972895982569851,0.0066860746075329235,0.0068720627331972095,0.0013605506069794193,0
RandomForest,"[17,18)",14944,0.00838143199082803,0.029204280161061583,0.009950156238040608,0.005478217971210904,0.0028533354714792435,0.005794590426765545,0.003431526778956833,0.00594683396492442,0.008239171722295843,0.008105456200881355,0.001495873971596062,0
RandomForest,"[18,19)",11486,0.010446425720339405,0.0314590821648095,0.011368799911241683,0.004823112351998873,0.003405461712117395,0.00718855457982202,0.002478332299966879,0.007632902142685164,0.009956682974080996,0.009277429177517602,0.0036645942764568906,0
RandomForest,"[19,20)",15761,0.007057712522499744,0.030361449200785498,0.0345025958797092,0.005274794430888064,0.00833218882201245,0.005183469925374988,0.00901030714151507,0.007657293977529564,0.011713213411118181,0.0060889283321175726,0.005169740189352938,0
RandomForest,"[20,22)",46066,0.005023358327595215,0.030269025699149264,0.06052425394105683,0.007731697346863157,0.019046236530512406,0.007307590563078874,0.015677022112897218,0.00406784861777647,0.004956308842603063,0.003383656291152457,0.003863580719573892,0
HistGB,"[14,17)",11742,0.0038682201659976092,0.013622727291016639,0.009301413360086323,0.014899046802308842,0.008897179788271677,0.0037012051910526797,0.0031534802194674435,0.0030697529359650275,0.0034244833668701995,0.004251508874827268,0.0015332665661976145,0
HistGB,"[17,18)",14944,0.004978767243444095,0.01526805847704437,0.0098643187419378,0.0168352846770611,0.010101897462615651,0.004990504526744497,0.004272358206288687,0.004134251167046933,0.00581239848566382,0.0051212597082978505,0.0014690953071791297,0
HistGB,"[18,19)",11486,0.007137591173975584,0.010409433455834678,0.007382979373005777,0.011245624164684276,0.004454659532827973,0.007311600181149677,0.0063187936718473005,0.004849567858432296,0.006467150015857391,0.005121804820656231,0.0029597487387832654,0
HistGB,"[19,20)",15761,0.00465916733984471,0.008490953253415232,0.00614046444018576,0.0099566923851955,0.003900027963242252,0.004114661662235463,0.004396370222261408,0.00490397988531389,0.00571146626237964,0.004504183704049127,0.004496289689512902,0
HistGB,"[20,22)",46066,0.004444288613914061,0.007580710899843392,0.0077479690120215595,0.0064946611018623914,0.009639076364866675,0.005535945486601435,0.009319280267924387,0.003784257533418573,0.003827908523433736,0.0031853902273030928,0.00433947384951889,0
MLP,"[14,17)",11742,0.0020558752089021807,0.030872239981555378,0.007245082889920714,0.002862761477313712,0.0015771127748556932,0.0022785560317143253,0.0021979854191210364,0.0038182616303771197,0.004012678230108097,0.005378257842238845,0.0020638488187844166,0
MLP,"[17,18)",14944,0.00282177496722745,0.03087211920673163,0.006820698976473839,0.00405845764660071,0.0036865675406866517,0.004052303007498788,0.003510249871886989,0.004915352634425006,0.006872206669739724,0.006357385641634078,0.0015164655919012154,0
MLP,"[18,19)",11486,0.002507051873061819,0.03163152670237249,0.010601594612097425,0.0035425984316319347,0.0026901924197664123,0.0031039540943951158,0.0025654210111676363,0.0047734947727453075,0.0063650294734285285,0.003920506579572388,0.004034948265235006,0
MLP,"[19,20)",15761,0.003163794035022246,0.03148255036783816,0.03264353053019205,0.004656319048897341,0.007818401631492302,0.003706042782751104,0.0028921832332305126,0.005480346887143564,0.00641068135681058,0.005459682179046571,0.004570677125573539,0
MLP,"[20,22)",46066,0.007855886732083997,0.032086139698264855,0.06392950615275331,0.005732940091136729,0.01506178657619087,0.003669302795467143,0.005343590194640976,0.006739369977510943,0.005185111411453674,0.007791481017091707,0.007241517503987449,0
LogReg,"[14,17)",11709,0.17438389527853465,0.15763277142602083,0.14591803899957315,0.14756979913761145,0.13040248704339566,0.1759857183929513,0.12491431839532827,0.12130198012810312,0.1846711527308241,0.16390792750840127,0.015326860145083984,1
LogReg,"[17,18)",15001,0.13240888776798795,0.1415016536562762,0.15026373615815636,0.14187889385256724,0.13267262822179046,0.13337777748471777,0.0835149235347132,0.09611407615469482,0.12896536954649288,0.12137826800733051,0.03799859091026108,1
LogReg,"[18,19)",11408,0.16678713739015907,0.09303974803737498,0.1276331783976469,0.1252268962437604,0.0543935760610315,0.16694895815752098,0.15535169042579344,0.11743152761757887,0.15699469461789667,0.10951218878893669,0.08578769944590327,1
LogReg,"[19,20)",16175,0.09917285491649161,0.09298160453302669,0.0961716173505243,0.0863519591806229,0.06186842502229453,0.10090850711988755,0.09120934513383855,0.08662565942384637,0.09715041269066042,0.08504416698441816,0.07768239859646056,1
LogReg,"[20,22)",45705,0.03222524957212802,0.03819124089888364,0.04556000191205429,0.023632672339090235,0.08623695326012543,0.03187125831707886,0.07576705914736087,0.0355037609465171,0.03434606280041889,0.04276934425952679,0.029395875779605618,1
RandomForest,"[14,17)",11709,0.004256238075301349,0.028751298343740794,0.006771690399679465,0.002186443728080347,0.0033064675357355193,0.0027033454173220435,0.002775778298589761,0.003530936668309805,0.005150950202664347,0.004358371861209048,0.00108348794105602,1
RandomForest,"[17,18)",15001,0.00839225877210978,0.029219056140125876,0.006994650629364059,0.005618977363315778,0.0022891628306780506,0.00609472751343461,0.0021090012766947163,0.006226070176655627,0.008092760119090783,0.008153089951665516,0.0024323604592105803,1
RandomForest,"[18,19)",11408,0.011075725394092437,0.03034829363788015,0.011700556782687565,0.007291695782549199,0.004270329292647793,0.007705632735350611,0.0016137757238787738,0.009273463722394997,0.0120752683055875,0.010694244999068972,0.00505087786252852,1
RandomForest,"[19,20)",16175,0.010190019995857787,0.02962940230588946,0.0316552921291115,0.006099475891638949,0.009689692238481384,0.005919287175416161,0.00666235135899945,0.007688478830810066,0.01127595186115239,0.005528657274286814,0.006260827356990996,1
RandomForest,"[20,22)",45705,0.0034488246165888053,0.030382936336088087,0.06322213219818103,0.006229254698579876,0.024432861360677828,0.006976484431525085,0.017759686860970462,0.003361406565120068,0.003882607402007672,0.0026988083354897966,0.003502803957862735,1
HistGB,"[14,17)",11709,0.002416186695470392,0.012578744006290101,0.008532590275299026,0.013697887727792839,0.007791163568884995,0.0021495580491498736,0.002880943972843144,0.0033307077031565894,0.0031625872318381478,0.0038404294998454643,0.002989106377786156,1
HistGB,"[17,18)",15001,0.00249206307494354,0.016284836847876905,0.011131071693081269,0.017196978512392373,0.009657534961206955,0.0026658261913394027,0.0019677750808196866,0.0035863725099286336,0.004017833996234992,0.0037218322862992144,0.0030194512472516938,1
HistGB,"[18,19)",11408,0.005974061177296352,0.011791016228417144,0.007800156421707728,0.01231953003094112,0.005250890175628451,0.006027297096158386,0.005585320932860465,0.0059845310757638106,0.008722465229517026,0.005641553488982655,0.0035895745087917512,1
HistGB,"[19,20)",16175,0.0037993039920762575,0.012477864148313459,0.006062240801549608,0.011776048103643313,0.00794569638230888,0.0034981038316568465,0.004210905451428937,0.005267730465407655,0.005366805903393387,0.005494601958855778,0.004941783533973799,1
HistGB,"[20,22)",45705,0.004911311492226289,0.009082937254207,0.00856641344063026,0.009445554958071579,0.01113669272347697,0.004077756384432898,0.007051811221098741,0.004313814845308447,0.004119322721812578,0.0052580825707009655,0.003564039243411799,1
MLP,"[14,17)",11709,0.0015457748466905642,0.029209161254209498,0.007017510239328015,0.002465263281390201,0.0019036482241850993,0.0019838585054463517,0.001383285297076956,0.004635795927257999,0.003918664662638534,0.006089621521073181,0.0038991015980622845,1
MLP,"[17,18)",15001,0.0025245845804708423,0.02871663731434864,0.006210540177963306,0.002334892136139755,0.002132711705018824,0.0027088125051339756,0.003024300042281116,0.003182755627384955,0.003645847318548027,0.0038949715411637827,0.0020074480224430546,1
MLP,"[18,19)",11408,0.0030464519592330597,0.029504506781382323,0.012764656058090242,0.0030815952518765503,0.00302944090633591,0.0035080209135336,0.002903787542389183,0.004011835880426465,0.004112529783295344,0.004897735982319345,0.003025241875664705,1
MLP,"[19,20)",16175,0.0032123960636222205,0.03158027773366849,0.029433686942003497,0.004455480471132669,0.006436354502860123,0.003077840129860002,0.004332814762413722,0.006204841836164182,0.005916091673067087,0.006630892615384153,0.006067541220041306,1
MLP,"[20,22)",45705,0.0033257003262291873,0.032067736306820714,0.06110696512212876,0.003810707037088198,0.008820700540712193,0.003303653705312548,0.003916907464388116,0.004577384948839122,0.004644546491829275,0.004394473252447205,0.004693135102240887,1
LogReg,"[14,17)",11716,0.1683766751632467,0.14864050114743768,0.144426898307726,0.14533760581965366,0.12309893122001522,0.1676525195574401,0.12075906062493254,0.11447154626489776,0.17410685226712788,0.15226547560380502,0.017042310923760386,2
LogReg,"[17,18)",14998,0.131054057299279,0.14642250488170072,0.15387558367330978,0.14069003369493474,0.13675894002787034,0.1310537961971529,0.0837906202704536,0.09606801069729974,0.12980156393523176,0.11807015285757579,0.04033231529909166,2
LogReg,"[18,19)",11494,0.16435975133798525,0.09605898795186739,0.13632855378134903,0.12369078443304674,0.0640378278770763,0.1640343098081683,0.15045505659943573,0.11515566122442467,0.15400072570640963,0.10690370749425532,0.08456255047260909,2
LogReg,"[19,20)",15999,0.09743542485792996,0.0964158133967535,0.10088979546885374,0.08347947840562918,0.06329212611767424,0.09753662552170447,0.09070835704325131,0.08365949281089587,0.09460312945685763,0.08005715134331133,0.07631819763251865,2
LogReg,"[20,22)",45792,0.032749888227574075,0.038346798771960476,0.05516328444210933,0.024660803122040192,0.08483843237752789,0.032800906357857484,0.07448422442802066,0.0354215588090243,0.03411500109867875,0.04125450861663469,0.03089516671175944,2
RandomForest,"[14,17)",11716,0.005243283753805377,0.028363242444485695,0.007280220994338376,0.0033211921999831175,0.002924417037176582,0.0033183070198362736,0.002633969099657073,0.004123924094407522,0.005567342926672868,0.005394478452254206,0.0014099509042954934,2
RandomForest,"[17,18)",14998,0.007357244901467105,0.028664840768970815,0.005687307806907091,0.004789897098143274,0.0025871528012296834,0.004930741764437582,0.0022265262852773702,0.005191632613429199,0.005916448949250572,0.006986289763287716,0.0026721591277493106,2
RandomForest,"[18,19)",11494,0.012455088038146935,0.03016512088983976,0.012467524025914502,0.007877826574571475,0.0042218454396483395,0.009283597703110975,0.004353566889110573,0.009188423633791252,0.011475249696186348,0.010214657415436427,0.005875363789750978,2
RandomForest,"[19,20)",15999,0.008506437558060168,0.030039502149738863,0.03257174450566231,0.006541717561043381,0.008235898051666229,0.004578122106300255,0.006971618533442218,0.007780330144186609,0.009018438596965753,0.007247520911907959,0.007075030923686115,2
RandomForest,"[20,22)",45792,0.00359559112407028,0.030460545218217183,0.06309612978296517,0.005637149968593601,0.018022653094028458,0.005870711769970664,0.017241394945668904,0.0038088744282925454,0.0048588490468221635,0.0029674399054538648,0.0036003343326016083,2
HistGB,"[14,17)",11716,0.0018424095819056922,0.011014083939569064,0.008102147725304557,0.012073412330799347,0.007701613141131899,0.0015344241034762856,0.0027682002676245473,0.0033135170868124762,0.004419525628047223,0.0027948823165316115,0.002726143315858595,2
HistGB,"[17,18)",14998,0.00489865608221693,0.012474997934331017,0.008589109286977443,0.013830828395072147,0.008576620210819518,0.00442312247688221,0.0023819549597332203,0.003775243335412397,0.004313380664729974,0.005178698626855454,0.0018336507146517649,2
HistGB,"[18,19)",11494,0.006211059104312473,0.01160420734558303,0.007701400131372608,0.013298934512294405,0.005702404583775102,0.0053985800379662136,0.004970026598968686,0.0057914303011454005,0.0066533690350192316,0.005095286224576176,0.005625635643840794,2
HistGB,"[19,20)",15999,0.004973898402030397,0.009446611573571512,0.003683581185843667,0.010587165986349114,0.005004344628264413,0.0037204506166258248,0.006806152650826584,0.0060733899249933825,0.00715523074634726,0.005340446042942346,0.00572449298569054,2
HistGB,"[20,22)",45792,0.004024059205528964,0.007607950151986882,0.0056764325558854665,0.009492518027466116,0.011016600018788271,0.00484496338542092,0.010705934154838295,0.004737448573926265,0.004869544812332332,0.004788369103367668,0.004554431806078793,2
MLP,"[14,17)",11716,0.004907684380029012,0.028542977248183596,0.00577803268622011,0.004427678665358387,0.0031712357716753015,0.004421589555353241,0.0036029746262612188,0.00390645479979568,0.0031068619581877508,0.005545875703723512,0.00306662673747578,2
MLP,"[17,18)",14998,0.003796722653586106,0.029430857038388516,0.006847396596519533,0.0029383416824513855,0.001179482263136673,0.0029565951664720313,0.003524877967910999,0.0031229923396770103,0.004204238506223646,0.0036874495171922983,0.001477288995615087,2
MLP,"[18,19)",11494,0.004151014019305593,0.03136602507939917,0.012033615848017673,0.0034340369699562504,0.004563779453880421,0.0041076589001608245,0.004801808068900115,0.004527901016696912,0.006047487911781495,0.003971019065608367,0.003565196072700875,2
MLP,"[19,20)",15999,0.0059465449374856896,0.02947856698822711,0.032339979569515176,0.005751436655492704,0.009141577162351484,0.005364026476331442,0.004522483382736272,0.005225223250133348,0.006649747320405693,0.0059398318728893975,0.003086090557104951,2
MLP,"[20,22)",45792,0.004574702725329839,0.029555602558918734,0.05729631898677178,0.007069326639671308,0.023285039444952308,0.008013947906979957,0.013599533975810981,0.005565598171010374,0.007025217462976398,0.006191704420821749,0.003479872629232975,2
LogReg,"[14,17)",11765,0.1725402887454622,0.15529964947316424,0.14188724521830012,0.14042379361181884,0.11517795215586832,0.17362935242855773,0.12359920794290052,0.11841843885942734,0.17852927709926247,0.1588504002183049,0.017875639260714678,3
LogReg,"[17,18)",14908,0.12815826467209285,0.14408270924901637,0.15550152710981524,0.14871134858684007,0.1377706567624064,0.12854138431855944,0.0816466804870016,0.0940321283910049,0.12509336527665343,0.11900075524727124,0.03800226464909001,3
LogReg,"[18,19)",11363,0.16842736094237312,0.09820318026624603,0.12792233314287557,0.12000642968316486,0.061473753790931174,0.16857290749367473,0.15423382094346919,0.11771553394466228,0.16059909000562586,0.10669243297449613,0.08585507885386486,3
LogReg,"[19,20)",15997,0.09422561148933095,0.09267527374589178,0.09591990894727549,0.08359160066345148,0.06384176825104465,0.09518524352115353,0.08875365549360534,0.08459920810943784,0.09527440984135797,0.08379605712733743,0.07472715735961814,3
LogReg,"[20,22)",45966,0.030137872783997568,0.03762370310298851,0.048072947826062355,0.023780790745120756,0.08795840510216002,0.030047073407542906,0.07623825364294418,0.03579136600557387,0.03633692545695538,0.04362940506034785,0.027407767499418385,3
RandomForest,"[14,17)",11765,0.006067573586056897,0.028330117482348385,0.0074104779664567275,0.004733600039773803,0.002188457145434146,0.004781371527003765,0.002863412038171839,0.004562855786234779,0.005701279269786982,0.005832351634192732,0.0021549364547246213,3
RandomForest,"[17,18)",14908,0.005899042764425242,0.028223444872326118,0.005111514632389891,0.003945733714122824,0.0031309467685387607,0.004428341120307952,0.002416695473850981,0.0045661656146755,0.005810861506398939,0.006223422453162159,0.0016642128844654041,3
RandomForest,"[18,19)",11363,0.010323947226724216,0.03161278234986,0.011902507891345194,0.008035453583344444,0.002847381395837032,0.008614482050566911,0.003766843056999335,0.008015195616181747,0.009722588443371143,0.010358195050807782,0.003964803354366315,3
RandomForest,"[19,20)",15997,0.010968463143453806,0.029420757297152662,0.02935341941985191,0.006978347389805704,0.006856125445652705,0.007125914793817948,0.0044244281129706105,0.008094916220830079,0.009307631310548486,0.008053357707835454,0.006923759644106295,3
RandomForest,"[20,22)",45966,0.0050806219928972085,0.03315320209556302,0.06555514807824514,0.009274704459923996,0.025296480470575644,0.008381124459583923,0.018249403380334324,0.004668581115033505,0.004735624788013726,0.005263624542721341,0.00400649401436545,3
HistGB,"[14,17)",11765,0.0023903012364404823,0.012839530991049758,0.009461538457116826,0.014131773189705476,0.00865844217476026,0.0027792076848851682,0.002383298119504286,0.002159919456799912,0.00232419095358742,0.00303730475974408,0.0011182626570682354,3
HistGB,"[17,18)",14908,0.0024427070232360786,0.01358460874919519,0.009285438523254922,0.015095841268078114,0.008888126476568527,0.0027692103139505208,0.002310800324397528,0.0032136796093970347,0.0036825650356491994,0.003658208197476818,0.002300265595065087,3
HistGB,"[18,19)",11363,0.005414137839874382,0.012810502194409601,0.007191797399668835,0.014206012712168752,0.006797111189400747,0.005899823714337161,0.005522976433722544,0.005158259314387743,0.007326134412043491,0.0051904162745471764,0.0029582272565725626,3
HistGB,"[19,20)",15997,0.006143858110111447,0.012209333288541877,0.005740902578220301,0.012581898224244126,0.0071321965915189444,0.00728716822401019,0.005338744849147544,0.005493595196602116,0.005525317383515436,0.0060578489216998755,0.004897619284591036,3
HistGB,"[20,22)",45966,0.0061793090040053785,0.010016002582788256,0.007804796928840944,0.00838259338237529,0.010559019461129204,0.004652108069220586,0.006933755131674874,0.005267968678860487,0.004526034426862246,0.006257516012591194,0.005020355597128022,3
MLP,"[14,17)",11765,0.00242118393272565,0.03195475643615306,0.00872438227155554,0.0029570012093827485,0.0021828581800102326,0.00223966420644246,0.0021701726680597574,0.003720813029448647,0.004420578920315558,0.004472606412773087,0.002269253755257296,3
MLP,"[17,18)",14908,0.003393315126033222,0.029872473139468732,0.004748158786652189,0.002264910591290267,0.001605032645531481,0.0026025715000555388,0.00246104701480187,0.0033669526184683996,0.004169587672622897,0.004010991129942941,0.0019202790528393618,3
MLP,"[18,19)",11363,0.0059544071724962795,0.030884435675006528,0.012184629745508364,0.0036017313363385347,0.00301417958777388,0.0030623300878378497,0.0031179396179625853,0.005142312533835933,0.004181295158881163,0.004730305933116031,0.006515336509510605,3
MLP,"[19,20)",15997,0.005887149762532485,0.030020456112634306,0.030125860808306343,0.005605122528474518,0.005481910252904685,0.003947916130307464,0.00372470301750558,0.008289351345693674,0.009014839905521215,0.007043650481284007,0.0088095636502758,3
MLP,"[20,22)",45966,0.009671442340715552,0.03278182424667596,0.06412534368722354,0.004414467657197783,0.010824047011517464,0.005057692653072138,0.004984953467762827,0.015501441481366814,0.009812635745120007,0.018148865348244492,0.018542823350735944,3
LogReg,"[14,17)",11739,0.17484404911472634,0.1545622083476792,0.14270841621410574,0.14482147454058214,0.11412373352172323,0.1734092211503995,0.12221207442467896,0.12080841355697385,0.18186746475135504,0.16220911436525579,0.018348661554310683,4
LogReg,"[17,18)",15020,0.1272054777984662,0.14322428656649427,0.1504270505779815,0.14360735489413715,0.13413191781213452,0.1262363676274616,0.07755372862139527,0.09403902209958782,0.1250168866560294,0.11799002807583306,0.03911015156690105,4
LogReg,"[18,19)",11288,0.16053608083179588,0.09297562155909313,0.12128279080389226,0.12482131487614621,0.06669495529767117,0.16116638949258352,0.14639049560924533,0.11533368776339263,0.15246464988771807,0.10790694512821655,0.08562946827424325,4
LogReg,"[19,20)",15929,0.09417286324132972,0.09506910500596863,0.10046318112267619,0.0809470980812207,0.05816436544871833,0.09341405660714712,0.08637612804348598,0.08290049328800125,0.09200949401253614,0.08163981507345708,0.07505217077801055,4
LogReg,"[20,22)",46023,0.027744598566142087,0.03822829620368771,0.050795529175272656,0.024292989898478123,0.08764438198207808,0.028284632156900733,0.07785462360144686,0.03443049715891299,0.033718702315127524,0.04088153723362413,0.02869125192798733,4
RandomForest,"[14,17)",11739,0.006052392689045538,0.02849880423759435,0.00802366198218375,0.004502731068602325,0.0018424649158624816,0.004318199805440619,0.0015947283718677195,0.004561160812423619,0.005354758262679931,0.006435181219405973,0.0018935429551849524,4
RandomForest,"[17,18)",15020,0.005913762064815583,0.02772170566434478,0.005559067903185712,0.0036596554570646964,0.0031839381250936393,0.0031088688750176155,0.002404259194392847,0.0046287145725700685,0.006324170800828723,0.006342650053528357,0.0012193228633531259,4
RandomForest,"[18,19)",11288,0.011197586129926232,0.03143827876257334,0.011570585192865121,0.008816131134435135,0.002907329186038887,0.00804301367785488,0.004656989972692353,0.00831710670057195,0.009586436989061527,0.009966940633727365,0.005397942478926961,4
RandomForest,"[19,20)",15929,0.010938708662121762,0.029646567495204473,0.03026793619013377,0.005812621787633176,0.006742046970056757,0.006401315806994823,0.005668959277583687,0.008325246310971842,0.010785481906128354,0.0072090979199284175,0.006981159106858753,4
RandomForest,"[20,22)",46023,0.002373233694775807,0.030934965349377886,0.06362630794153089,0.006890571121682896,0.022673283809830025,0.005661282035585944,0.016464873908474613,0.0043349162262315164,0.005458592991019987,0.003730026370366793,0.003816129317307768,4
HistGB,"[14,17)",11739,0.0020969427430151595,0.012921276669013907,0.009276274115784959,0.014090281811255344,0.00894071058214976,0.0020565088808686795,0.003191839034389455,0.0024326452153203295,0.0018323154024726413,0.0029173523044459583,0.0025482679390423897,4
HistGB,"[17,18)",15020,0.0024736777667682445,0.011498818257443399,0.006674541449289842,0.012627983563824483,0.006349485132280608,0.002673913471410902,0.0021322675807564197,0.002707094730161598,0.0036085685856735014,0.0025750113103633785,0.001937704294447914,4
HistGB,"[18,19)",11288,0.004851894705138084,0.010934354169338646,0.006457303896795538,0.011724884335188071,0.004878778923805683,0.005195186207775034,0.003924185358569456,0.0054387129480164146,0.007490628859345391,0.0041647800637227,0.004660729920981155,4
HistGB,"[19,20)",15929,0.006000050357822486,0.010071577896504248,0.00383696035777839,0.01077944699434508,0.0046727794033532555,0.006279291464037415,0.0038140822675397502,0.005876959333657339,0.007434937060887104,0.003731800540810639,0.0064641403992742735,4
HistGB,"[20,22)",46023,0.004279590449550627,0.009041762535133611,0.005514133678645721,0.010145446754978565,0.006981195677216352,0.003923758644590122,0.007908531389494747,0.0047743854511657835,0.005158343311879471,0.003335644381333611,0.005829168660284268,4
MLP,"[14,17)",11739,0.0017691566789888127,0.030200655584758204,0.008198286385207334,0.0019675238321920606,0.0018354171301640163,0.0013580283466764075,0.0015457618710612688,0.0022237880609328868,0.002690958731045208,0.0030193253740992843,0.000961080077654168,4
MLP,"[17,18)",15020,0.0023740440846495067,0.02869286780894289,0.004606602610656162,0.00271754729815343,0.003455408273257868,0.0031124577259067946,0.002594089361212589,0.0022334554085000386,0.0025014132743422742,0.00274844558511228,0.0014505073660455619,4
MLP,"[18,19)",11288,0.001909019950414497,0.030516697887256375,0.012832641337935557,0.0038823249064818596,0.0034438742292648285,0.0027467723032259064,0.0021128354588676916,0.004435101533923898,0.005015353788236789,0.005813712153825253,0.00247623865970965,4
MLP,"[19,20)",15929,0.007122376811555668,0.030797214972102492,0.029567008698475256,0.005078170767066691,0.0050637296732972585,0.004449336046616713,0.005753112771343494,0.008536030681846683,0.0067784289361599165,0.011582637856691077,0.007247025252689056,4
MLP,"[20,22)",46023,0.005099058356000979,0.0316573348972316,0.06127788143894204,0.002387565849350115,0.004251260226141776,0.003376408712294638,0.004702332243567125,0.006294282325451993,0.004655763029888604,0.00878908062824497,0.005438003318222403,4
LogReg,"[14,17)",11616,0.16913508720544046,0.1527936659596448,0.13608019270517888,0.14143017040295944,0.12209275128930638,0.16860843673083217,0.11613593478530794,0.11820940437185982,0.17889088352295196,0.1595655764562173,0.016171753136410186,5
LogReg,"[17,18)",15090,0.13323596059267925,0.1472553578336575,0.15618111986947522,0.14556925346913227,0.13749443929736233,0.13257932475123904,0.08079204281598504,0.09734151502015255,0.13131104586829065,0.1206044187479929,0.040109080444174085,5
