model,mag_bin,n_true_qso,raw_promised_purity,raw_achieved_purity,raw_completeness,raw_n_selected,rep_temperature_promised_purity,rep_temperature_achieved_purity,rep_temperature_completeness,rep_temperature_n_selected,bright_temperature_promised_purity,bright_temperature_achieved_purity,bright_temperature_completeness,bright_temperature_n_selected,seed
LogReg,"[14,17)",91,0.9990609882715832,0.0,0.0,1,0.999089431148176,0.0,0.0,1,0.9999457946627089,0.0,0.0,1,0
LogReg,"[17,18)",318,,,0.0,0,,,0.0,0,0.9225353626314287,0.0,0.0,1,0
LogReg,"[18,19)",1660,0.9144892271367908,0.3333333333333333,0.0006024096385542169,3,0.9154139311324254,0.3333333333333333,0.0006024096385542169,3,0.9288457064333928,0.05128205128205128,0.0012048192771084338,39,0
LogReg,"[19,20)",3903,0.9235100720609752,0.05263157894736842,0.0005124263387138099,38,0.9243471805189735,0.05263157894736842,0.0005124263387138099,38,0.939824395126135,0.1386861313868613,0.004868050217781194,137,0
LogReg,"[20,22)",13215,0.9229727080447411,0.7881773399014779,0.08475217555807794,1421,0.9231320103996988,0.7876106194690266,0.0875520242149073,1469,0.9414815707521529,0.8426773455377574,0.44585698070374574,6992,0
RandomForest,"[14,17)",91,0.9504259713509308,1.0,0.27472527472527475,25,0.9523974114636271,1.0,0.3076923076923077,28,0.9585510924264156,1.0,0.32967032967032966,30,0
RandomForest,"[17,18)",318,0.9680373628454877,0.978021978021978,0.559748427672956,182,0.9707546506274369,0.9682539682539683,0.5754716981132075,189,0.9733111904996948,0.97,0.610062893081761,200,0
RandomForest,"[18,19)",1660,0.9815540012572552,0.989329268292683,0.7819277108433735,1312,0.9839028537465082,0.9894419306184012,0.7903614457831325,1326,0.9856730758136404,0.9875,0.8090361445783133,1360,0
RandomForest,"[19,20)",3903,0.9846862337956496,0.987670776407864,0.7594158339738662,3001,0.9864413685887634,0.9871710526315789,0.7688957212400718,3040,0.988410153619655,0.9854368932038835,0.7801691006917756,3090,0
RandomForest,"[20,22)",13215,0.963314241675083,0.9640564826700898,0.5114642451759365,7011,0.9656632780939431,0.9595087056282899,0.5379493000378358,7409,0.9686641842524855,0.954212916246216,0.5724555429436247,7928,0
HistGB,"[14,17)",91,0.9633450905367908,0.975,0.42857142857142855,40,0.9642860538578091,0.975,0.42857142857142855,40,0.967451303709387,0.975,0.42857142857142855,40,0
HistGB,"[17,18)",318,0.9753270748621119,0.9714285714285714,0.6415094339622641,210,0.9756383926334831,0.9715639810426541,0.6446540880503144,211,0.9772074686747556,0.9671361502347418,0.6477987421383647,213,0
HistGB,"[18,19)",1660,0.9852612458592309,0.9847272727272727,0.8156626506024096,1375,0.9853831129086816,0.9847826086956522,0.8186746987951807,1380,0.986458629972603,0.9848484848484849,0.822289156626506,1386,0
HistGB,"[19,20)",3903,0.9851030745334242,0.9862430396331477,0.7714578529336408,3053,0.9854333009523896,0.9859339221458947,0.7722264924417115,3057,0.9863579286682136,0.9857003574910628,0.7770945426594927,3077,0
HistGB,"[20,22)",13215,0.964271916833305,0.9641338247802665,0.5146424517593644,7054,0.9644496865530263,0.9632641615255187,0.5198637911464246,7132,0.9654552494689169,0.9622282608695653,0.5359061672342036,7360,0
MLP,"[14,17)",91,0.9642747216574514,1.0,0.3516483516483517,32,0.9601151141681381,1.0,0.3516483516483517,32,0.9617246536869991,1.0,0.3516483516483517,32,0
MLP,"[17,18)",318,0.9751630049301698,0.9653465346534653,0.6132075471698113,202,0.9751667068469004,0.9690721649484536,0.5911949685534591,194,0.9747826333321226,0.9646464646464646,0.60062893081761,198,0
MLP,"[18,19)",1660,0.9846367509518715,0.988243938280676,0.8102409638554217,1361,0.9832068333958824,0.9888971132494448,0.8048192771084337,1351,0.9836300869542733,0.9889462048636699,0.808433734939759,1357,0
MLP,"[19,20)",3903,0.9868704554219684,0.9865308804204993,0.7694081475787855,3044,0.9857778671265417,0.9870903674280039,0.7640276710222905,3021,0.9861408012577088,0.9868073878627969,0.7665898027158596,3032,0
MLP,"[20,22)",13215,0.9668245616906361,0.9633375474083439,0.5189557321225879,7119,0.9653690578892139,0.9654069767441861,0.5026106696935301,6880,0.9659461131505553,0.9647008179078778,0.5087400681044267,6969,0
LogReg,"[14,17)",113,,,0.0,0,,,0.0,0,0.9198956906141821,0.0,0.0,1,1
LogReg,"[17,18)",314,0.9972099558338223,0.0,0.0,2,0.9970731163767818,0.0,0.0,2,0.9445101396037171,0.0,0.0,6,1
LogReg,"[18,19)",1643,0.910143626379791,0.0,0.0,6,0.9082177342537584,0.0,0.0,6,0.935576341977948,0.02564102564102564,0.0006086427267194157,39,1
LogReg,"[19,20)",4045,0.9236488488069966,0.05128205128205128,0.0004944375772558715,39,0.9252867731459677,0.058823529411764705,0.0004944375772558715,34,0.9400210434847556,0.1347517730496454,0.004697156983930779,141,1
LogReg,"[20,22)",13073,0.9229257846969625,0.7874172185430464,0.09095081465616156,1510,0.9224295242977681,0.7831920903954802,0.08483133175246692,1416,0.9414507850070045,0.839753687526851,0.44855809684081693,6983,1
RandomForest,"[14,17)",113,0.9486901972177676,0.9722222222222222,0.30973451327433627,36,0.9519455547732033,0.9743589743589743,0.336283185840708,39,0.9592939193726872,0.9767441860465116,0.37168141592920356,43,1
RandomForest,"[17,18)",314,0.9673762772531027,0.9829545454545454,0.5509554140127388,176,0.96896092561294,0.9837837837837838,0.5796178343949044,185,0.9747471618238934,0.9844559585492227,0.6050955414012739,193,1
RandomForest,"[18,19)",1643,0.9825098905735418,0.9912490055688147,0.7583688374923919,1257,0.9839927490938325,0.9913995308835027,0.7717589774802192,1279,0.9870008269309668,0.9908256880733946,0.7888009738283628,1308,1
RandomForest,"[19,20)",4045,0.98466815157948,0.9910625620655412,0.7401730531520395,3021,0.9863650980424382,0.9905073649754501,0.7480840543881335,3055,0.9886356363124017,0.9894568690095846,0.7656365883807169,3130,1
RandomForest,"[20,22)",13073,0.9625369143393364,0.963141480011341,0.5196970855962671,7054,0.9648573537620421,0.9593682505399568,0.5436395624569724,7408,0.9690300190564926,0.9514285714285714,0.5858639944924654,8050,1
HistGB,"[14,17)",113,0.9667530241803313,0.9444444444444444,0.45132743362831856,54,0.967366181602047,0.9433962264150944,0.4424778761061947,53,0.9687720608827239,0.9444444444444444,0.45132743362831856,54,1
HistGB,"[17,18)",314,0.9741117315887737,0.9716981132075472,0.6560509554140127,212,0.9735835839438933,0.9716981132075472,0.6560509554140127,212,0.9753790612555819,0.971830985915493,0.6592356687898089,213,1
HistGB,"[18,19)",1643,0.9858937061359951,0.9858525688756515,0.8058429701765064,1343,0.9857034313812347,0.9858314690529456,0.8046256847230676,1341,0.9864859825099795,0.9859154929577465,0.8094948265368229,1349,1
HistGB,"[19,20)",4045,0.9848134251234374,0.9902660609993511,0.7545117428924598,3082,0.9846147053324354,0.9902502437439064,0.7532756489493202,3077,0.9854941818925032,0.9890145395799677,0.7567367119901113,3095,1
HistGB,"[20,22)",13073,0.9634693480905905,0.9627223948037278,0.5215329304673755,7082,0.9632454061166732,0.9627470496232049,0.517937734261455,7033,0.9640853608433513,0.961357990615512,0.5328539738392106,7246,1
MLP,"[14,17)",113,0.9702538868626958,0.9344262295081968,0.504424778761062,61,0.970689129157562,0.9344262295081968,0.504424778761062,61,0.969030907737609,0.9344262295081968,0.504424778761062,61,1
MLP,"[17,18)",314,0.9778513409769025,0.9723502304147466,0.6719745222929936,217,0.9774594001856554,0.9680365296803652,0.6751592356687898,219,0.9773137105270148,0.9722222222222222,0.6687898089171974,216,1
MLP,"[18,19)",1643,0.9891504070397401,0.986870897155361,0.8234936092513695,1371,0.9893248290299987,0.986870897155361,0.8234936092513695,1371,0.9889208211182858,0.9868324798829554,0.8210590383444918,1367,1
MLP,"[19,20)",4045,0.9876433981416133,0.9892234548335974,0.7715698393077874,3155,0.9878135817423397,0.9892268694550064,0.7718170580964153,3156,0.9873090941825583,0.9895138226882746,0.7698393077873918,3147,1
MLP,"[20,22)",13073,0.9649263353832706,0.9691935971005738,0.49093551594890233,6622,0.9651409039321511,0.9691682959843585,0.4929243478926031,6649,0.9644226833560788,0.9704802691954726,0.48535148779928095,6538,1
LogReg,"[14,17)",107,0.9420716757636294,0.0,0.0,1,0.9425131403305071,0.0,0.0,1,0.9800160450971863,0.0,0.0,1,2
LogReg,"[17,18)",289,0.9973002451191221,0.0,0.0,1,0.9973459075654311,0.0,0.0,1,0.9324490281336487,0.0,0.0,4,2
LogReg,"[18,19)",1581,0.923869938341645,0.0,0.0,9,0.9243867116164767,0.0,0.0,9,0.9367437531615928,0.022727272727272728,0.0006325110689437065,44,2
LogReg,"[19,20)",3969,0.9275973219989891,0.027777777777777776,0.0002519526329050139,36,0.9273792330428227,0.02702702702702703,0.0002519526329050139,37,0.9424474059187571,0.136,0.004283194759385236,125,2
LogReg,"[20,22)",13241,0.9226846769332444,0.773109243697479,0.0833773884147723,1428,0.9228193886443559,0.7716049382716049,0.08496337134657503,1458,0.9406689980509981,0.8397316968745541,0.44437731289177557,7007,2
RandomForest,"[14,17)",107,0.9507103386416725,1.0,0.19626168224299065,21,0.9463158690623346,1.0,0.2523364485981308,27,0.9493737754787259,1.0,0.3177570093457944,34,2
RandomForest,"[17,18)",289,0.9688751884829753,0.9888888888888889,0.615916955017301,180,0.9712486856564948,0.9838709677419355,0.6332179930795848,186,0.9753617949600898,0.9796954314720813,0.6678200692041523,197,2
RandomForest,"[18,19)",1581,0.9822501694392077,0.9917695473251029,0.7621758380771664,1215,0.9834120966691152,0.9895245769540693,0.7767235926628716,1241,0.9852600203088471,0.9852598913886734,0.8032890575585073,1289,2
RandomForest,"[19,20)",3969,0.9851568683066761,0.9885283513602098,0.7598891408415218,3051,0.9865173480609403,0.9880336351875808,0.7697152935248174,3092,0.9885467857284315,0.9864310508046702,0.7876039304610734,3169,2
RandomForest,"[20,22)",13241,0.9633937283184366,0.9655907862931893,0.5128766709463032,7033,0.9650467336701423,0.9607737775389575,0.5401404727739597,7444,0.9690298157366617,0.953966093305284,0.5822067819651083,8081,2
HistGB,"[14,17)",107,0.9588616509953464,0.9047619047619048,0.35514018691588783,42,0.9592357454766905,0.9069767441860465,0.3644859813084112,43,0.9621179412013673,0.8888888888888888,0.37383177570093457,45,2
HistGB,"[17,18)",289,0.9707503581586133,0.9646464646464646,0.6608996539792388,198,0.9717760003175632,0.964824120603015,0.6643598615916955,199,0.9744890877235897,0.9655172413793104,0.6782006920415224,203,2
HistGB,"[18,19)",1581,0.9836598370121533,0.985051140833989,0.7919038583175205,1271,0.9842915689123671,0.9835164835164835,0.7925363693864642,1274,0.9854523156164816,0.9837712519319938,0.8051865907653384,1294,2
HistGB,"[19,20)",3969,0.9841143771429764,0.9855025773195877,0.7707231040564374,3104,0.9845500647724575,0.9849262347658756,0.7737465356512976,3118,0.9862704123344117,0.9847328244274809,0.780045351473923,3144,2
HistGB,"[20,22)",13241,0.9627125591200664,0.9672177879133409,0.5124990559625406,7016,0.9631894282320128,0.9651309340428511,0.5205044936183068,7141,0.9646552435477419,0.9603500861954648,0.5469375424816857,7541,2
MLP,"[14,17)",107,0.9730830238788017,0.975609756097561,0.37383177570093457,41,0.9709897081752169,0.975609756097561,0.37383177570093457,41,0.9688733926138007,0.975,0.3644859813084112,40,2
MLP,"[17,18)",289,0.9832684887880233,0.9702970297029703,0.6782006920415224,202,0.9818528111766207,0.9702970297029703,0.6782006920415224,202,0.9795769924738134,0.9701492537313433,0.6747404844290658,201,2
MLP,"[18,19)",1581,0.9881078114561103,0.9857890800299177,0.8336495888678052,1337,0.987480512484966,0.98572501878287,0.8298545224541429,1331,0.9867611008598596,0.9862909367859863,0.8191018342820999,1313,2
MLP,"[19,20)",3969,0.9884555460344604,0.9861417322834646,0.7888636936255984,3175,0.9877317999461116,0.9864139020537125,0.7865961199294532,3165,0.9863382508921065,0.9863361931998729,0.782060972537163,3147,2
MLP,"[20,22)",13241,0.9655228196170987,0.9679250638660233,0.5150668378521259,7046,0.9645296523373174,0.9689450007255841,0.5042670493165169,6891,0.9631415805781219,0.9713981439221056,0.4822143342647836,6573,2
LogReg,"[14,17)",93,0.9980359139945099,0.0,0.0,2,0.9979712444935653,0.0,0.0,2,0.9998001442991822,0.0,0.0,2,3
LogReg,"[17,18)",316,0.9706606191010021,0.0,0.0,4,0.970172668059899,0.0,0.0,4,0.9663844919230833,0.0,0.0,6,3
LogReg,"[18,19)",1571,0.9189760606421814,0.3333333333333333,0.0006365372374283895,3,0.917815204540537,0.3333333333333333,0.0006365372374283895,3,0.9323125267664646,0.03225806451612903,0.0006365372374283895,31,3
LogReg,"[19,20)",3962,0.9238364968131383,0.0,0.0,47,0.924365638518787,0.0,0.0,44,0.9418626452460827,0.11392405063291139,0.004543160020191822,158,3
LogReg,"[20,22)",13245,0.923153808988424,0.7584541062801933,0.08297470743676859,1449,0.9229130249250348,0.7541337167505392,0.07919969799924499,1391,0.941170191830766,0.8327702702702703,0.4466591166477916,7104,3
RandomForest,"[14,17)",93,0.9456868898325458,1.0,0.23655913978494625,22,0.9445927843350186,1.0,0.27956989247311825,26,0.9531631291643533,1.0,0.3010752688172043,28,3
RandomForest,"[17,18)",316,0.9709611186787527,0.9882352941176471,0.5316455696202531,170,0.9721560483831237,0.9886363636363636,0.5506329113924051,176,0.9764021201991888,0.989010989010989,0.569620253164557,182,3
RandomForest,"[18,19)",1571,0.9830197400989854,0.9893877551020408,0.7714831317632082,1225,0.9847101561645757,0.9894566098945661,0.7765754296626353,1233,0.9867894093122367,0.9873116574147502,0.792488860598345,1261,3
RandomForest,"[19,20)",3962,0.9854154837335997,0.9901896664486592,0.7642604745078243,3058,0.9866643479279659,0.9896305897602073,0.7708228167592125,3086,0.9886853392453875,0.9891754218401783,0.7841998990408885,3141,3
RandomForest,"[20,22)",13245,0.9650068974609782,0.9601824968892576,0.5243488108720272,7233,0.9667535412019514,0.9569505531120885,0.542091355228388,7503,0.9699678728110517,0.9522562951882324,0.5767459418648546,8022,3
HistGB,"[14,17)",93,0.9620622382140906,1.0,0.3333333333333333,31,0.9603998936849639,1.0,0.3333333333333333,31,0.9610332237795515,1.0,0.34408602150537637,32,3
HistGB,"[17,18)",316,0.9728939159409747,0.970873786407767,0.6329113924050633,206,0.9730977233835638,0.9702970297029703,0.620253164556962,202,0.9732416353860865,0.9710144927536232,0.6360759493670886,207,3
